City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
189,Nanortalik,GL,2022-09-03 00:57:55,60.1432,-45.2371,48.85,57,100,20.29
190,Terracina,IT,2022-09-03 00:57:56,41.2863,13.2217,70.92,73,1,3.18
191,Mopipi,BW,2022-09-03 00:57:56,-21.1833,24.8833,54.25,29,0,9.06
192,Tsiroanomandidy,MG,2022-09-03 00:57:56,-18.7667,46.0333,60.26,69,13,2.33
193,Benalla,AU,2022-09-03 00:57:57,-36.55,145.9833,52.86,55,0,4.88
194,Sitka,US,2022-09-03 00:55:33,57.0531,-135.33,58.66,88,100,11.27
195,Aban,RU,2022-09-03 00:57:57,56.67,96.06,40.55,94,93,10.22
196,Itoman,JP,2022-09-03 00:57:58,26.1247,127.6694,81.37,92,75,34.52
197,Bara,NG,2022-09-03 00:57:58,10.3744,10.7288,68.5,96,100,8.52
198,Laguna,US,2022-09-03 00:57:58,38.421,-121.4238,107.08,17,0,4.0
199,Luganville,VU,2022-09-03 00:57:59,-15.5333,167.1667,78.98,82,96,14.16
200,Asbe Teferi,ET,2022-09-03 00:57:59,9.0833,40.8667,62.1,75,80,7.02
201,Barabai,ID,2022-09-03 00:58:00,-2.5833,115.3833,83.25,72,100,0.78
202,Bredasdorp,ZA,2022-09-03 00:58:00,-34.5322,20.0403,48.67,80,5,6.02
203,Kruisfontein,ZA,2022-09-03 00:58:01,-34.0033,24.7314,51.87,80,0,4.85
204,Kiama,AU,2022-09-03 00:58:01,-34.6833,150.8667,55.99,91,100,5.01
205,Zhoucheng,CN,2022-09-03 00:58:02,35.9122,116.3117,73.36,61,99,3.31
206,Saint-Augustin,CA,2022-09-03 00:58:02,51.226,-58.6502,56.82,59,0,8.61
207,Yellowknife,CA,2022-09-03 00:58:02,62.456,-114.3525,66.72,48,75,5.75
208,Liwale,TZ,2022-09-03 00:58:03,-9.7667,37.9333,60.01,95,0,1.14
209,Namatanai,PG,2022-09-03 00:58:03,-3.6667,152.4333,85.14,61,2,9.1
210,Salinas,US,2022-09-03 00:53:27,36.6777,-121.6555,97.56,65,20,9.22
211,Harper,LR,2022-09-03 00:58:04,4.375,-7.7169,74.93,87,60,6.71
212,Leninskoye,KZ,2022-09-03 00:58:04,41.7589,69.3864,70.47,21,0,3.96
213,Katsuura,JP,2022-09-03 00:58:04,35.1333,140.3,79.81,79,79,11.03
214,Iqaluit,CA,2022-09-03 00:54:10,63.7506,-68.5145,40.73,93,75,3.44
215,Oktyabrskoye,RU,2022-09-03 00:58:05,43.0645,44.7417,64.54,88,2,4.47
216,Mahon,ES,2022-09-03 00:58:05,39.8885,4.2658,75.76,94,0,3.44
217,Nishihara,JP,2022-09-03 00:58:06,26.1842,127.7558,80.65,91,100,34.52
218,Pavlogradka,RU,2022-09-03 00:58:06,54.2024,73.5592,67.8,49,23,9.17
219,Tamiahua,MX,2022-09-03 00:58:07,21.2667,-97.45,81.64,79,33,6.67
220,Beloha,MG,2022-09-03 00:58:07,-25.1667,45.05,59.13,90,0,7.76
221,Arlit,NE,2022-09-03 00:58:07,18.7369,7.3853,88.34,34,65,6.17
222,Victor Harbor,AU,2022-09-03 00:58:08,-35.5667,138.6167,55.0,79,75,3.0
223,Lavrentiya,RU,2022-09-03 00:58:08,65.5833,-171.0,44.56,75,70,0.98
224,Kotdwara,IN,2022-09-03 00:58:08,29.75,78.5333,76.69,83,0,3.31
225,Moron,AR,2022-09-03 00:58:09,-34.6534,-58.6198,56.95,46,0,4.23
226,Saskylakh,RU,2022-09-03 00:58:09,71.9167,114.0833,37.44,86,100,11.23
227,Curuguaty,PY,2022-09-03 00:58:10,-24.4694,-55.6945,66.18,70,83,7.49
228,Slave Lake,CA,2022-09-03 00:58:10,55.2834,-114.769,82.38,39,0,10.36
229,Redcliffe,AU,2022-09-03 00:58:10,-27.2307,153.0973,62.46,94,100,16.11
230,Fare,PF,2022-09-03 00:59:11,-16.7,-151.0167,78.58,67,0,19.82
231,Constitucion,CL,2022-09-03 00:59:11,-35.3333,-72.4167,52.93,73,0,5.97
232,Sangar,RU,2022-09-03 00:59:12,63.9242,127.4739,46.35,79,29,7.63
233,Puerto Cabezas,NI,2022-09-03 00:59:12,14.0351,-83.3888,78.26,82,65,6.33
234,Kaitangata,NZ,2022-09-03 00:59:12,-46.2817,169.8464,45.7,85,100,12.5
235,Leninskiy,RU,2022-09-03 00:59:13,54.2781,37.4558,39.18,85,10,6.49
236,Grindavik,IS,2022-09-03 00:59:13,63.8424,-22.4338,51.75,93,0,8.05
237,Kryve Ozero,UA,2022-09-03 00:59:14,47.9524,30.3493,60.42,38,100,12.77
238,San Patricio,US,2022-09-03 00:59:14,28.017,-97.5169,85.89,69,100,10.07
239,Shimoda,JP,2022-09-03 00:59:14,34.6667,138.95,77.36,76,14,12.55
240,Half Moon Bay,US,2022-09-03 00:56:06,37.4636,-122.4286,86.79,81,100,13.8
241,Tres Lagoas,BR,2022-09-03 00:59:15,-20.7511,-51.6783,82.74,28,75,1.36
242,Grayvoron,RU,2022-09-03 00:59:15,50.4767,35.6773,51.15,53,100,6.17
243,Westerland,DE,2022-09-03 00:59:16,54.9079,8.3033,58.01,82,40,11.5
244,Van,TR,2022-09-03 00:59:16,38.4924,43.3831,70.12,32,1,3.47
245,Isangel,VU,2022-09-03 00:59:16,-19.55,169.2667,80.71,65,75,5.75
246,La Sierra,CO,2022-09-03 00:59:17,2.1784,-76.7626,58.53,93,16,5.03
247,Codrington,AU,2022-09-03 00:59:17,-38.2667,141.9667,53.26,80,64,13.38
248,Kutum,SD,2022-09-03 00:59:18,14.2,24.6667,77.99,50,82,1.36
249,Stokmarknes,NO,2022-09-03 00:59:18,68.5646,14.9108,42.78,87,69,3.44
250,Sambava,MG,2022-09-03 00:54:21,-14.2667,50.1667,65.68,83,10,13.11
251,Pasighat,IN,2022-09-03 00:59:19,28.0667,95.3333,76.19,99,100,2.17
252,Bengkulu,ID,2022-09-03 00:59:19,-3.8004,102.2655,73.78,94,100,4.16
